Termo de Pesquisa,Cliques,Custo (R$),Conversões,Sugestão,Decisão do Cliente (MANTER / BLOQUEAR),Observação
azure devops,29,R$ 479,75,0,AVALIAR,,
licença power bi para empresas,1,R$ 224,72,0,AVALIAR,,
dynamics 365,4,R$ 223,18,0,AVALIAR,,
azure dev tools for teaching,5,R$ 136,67,1,BLOQUEAR,,"Programa Microsoft para estudantes/professores — não é lead B2B"
revendedor windows,2,R$ 89,84,0,BLOQUEAR,,"Foco é Windows, não consultoria"
devops azure,5,R$ 61,04,0,MANTER,,
office 365 empresas planos e preços,1,R$ 57,10,0,AVALIAR,,
power bi pro csp,1,R$ 56,96,0,AVALIAR,,"Depende se a empresa vende Power BI"
licença csp,1,R$ 38,67,0,MANTER,,"Intenção comercial clara"
outlook corporativo,2,R$ 38,23,0,MANTER,,
outlook for business,1,R$ 37,27,0,MANTER,,
lcs dynamics,1,R$ 30,30,0,BLOQUEAR,,"Lifecycle Services — uso técnico do produto"
power bi service,2,R$ 31,19,0,AVALIAR,,
office 365 para empresas valor,1,R$ 30,09,0,MANTER,,"Pesquisa de preço = intenção de compra"
outlook empresa,1,R$ 29,93,0,MANTER,,
power bi platform,1,R$ 27,23,0,AVALIAR,,
business premium,1,R$ 26,94,0,MANTER,,"Plano Microsoft 365 Business Premium"
teams corporativo,2,R$ 26,42,0,MANTER,,
azure devops ado,1,R$ 24,18,0,BLOQUEAR,,"Sigla interna — usuário já usa o produto"
azure devtools for students,1,R$ 23,96,0,BLOQUEAR,,"Programa para estudantes"
azure devops status,1,R$ 23,65,0,BLOQUEAR,,"Verifica status do serviço — não quer contratar"
pipeline azure devops,1,R$ 23,60,0,BLOQUEAR,,"Uso técnico do produto — não quer consultoria"
azure devops service status,1,R$ 22,87,0,BLOQUEAR,,"Verifica se o serviço está online"
outlook empresarial,2,R$ 19,73,0,MANTER,,
teams para empresas,2,R$ 17,24,0,MANTER,,
pacote office 365 empresarial,1,R$ 16,40,0,MANTER,,
outlook para empresa,1,R$ 14,96,0,MANTER,,
licença 365 basic,1,R$ 14,13,0,MANTER,,"Intenção de compra de licença"
windows para empresas preço,1,R$ 13,14,0,AVALIAR,,
sc 900,1,R$ 12,98,0,BLOQUEAR,,"Certificação Microsoft — não quer contratar"
dynamics ax,1,R$ 11,56,0,AVALIAR,,"ERP antigo — pode querer migração"
office para empresas,1,R$ 10,61,0,MANTER,,
dev azure,1,R$ 9,49,0,BLOQUEAR,,"Muito genérico/informacional"
curso de devops azure,1,R$ 9,28,0,BLOQUEAR,,"Quer curso — não quer contratar consultoria"
planos office 365 empresas,1,R$ 8,58,0,MANTER,,"Pesquisa de planos = intenção de compra"
office 365 empresas,1,R$ 8,68,0,MANTER,,
office 365 empresarial,1,R$ 8,19,0,MANTER,,
azure devops work items connector,1,R$ 7,86,0,BLOQUEAR,,"Uso muito técnico do produto"
licenças office 365 e1 e3 e5,1,R$ 7,91,0,MANTER,,"Compara planos — intenção de compra"
licença basic office 365,1,R$ 7,32,0,MANTER,,"Intenção de compra"
certificação sc 900,1,R$ 7,17,0,BLOQUEAR,,"Certificação — não quer contratar"
business central dynamics,1,R$ 6,73,0,AVALIAR,,"ERP — pode querer implantação"
pacote office empresa,1,R$ 6,46,0,MANTER,,
licença business premium,1,R$ 6,17,0,MANTER,,"Intenção de compra"
d365,1,R$ 6,01,0,BLOQUEAR,,"Muito genérico"
conta corporativa outlook,1,R$ 5,81,0,AVALIAR,,"Pode ser cliente tentando logar"
outlook empresas,1,R$ 4,86,0,MANTER,,
licença e1,1,R$ 4,84,0,MANTER,,"Intenção de compra"
sistema dynamics,1,R$ 3,80,0,AVALIAR,,"ERP — pode querer implantação"
azure devops pipeline,1,R$ 24,98,0,BLOQUEAR,,"Uso técnico — não quer contratar"
